"Id","ComponentGroup","TokenKey","CssVariable","DefaultValue","CurrentValue","Category","Description","IsActive","SortOrder","CreatedAt","UpdatedAt"
"200","text","size-xs","--ds-text-size-xs","TBD",NULL,"typography","Extra small text size","1","200","2026-05-12 00:00:00","2026-05-12 00:00:00"
"201","text","size-sm","--ds-text-size-sm","TBD",NULL,"typography","Small text size","1","201","2026-05-12 00:00:00","2026-05-12 00:00:00"
"202","text","size-md","--ds-text-size-md","TBD",NULL,"typography","Medium text size","1","202","2026-05-12 00:00:00","2026-05-12 00:00:00"
"203","text","size-lg","--ds-text-size-lg","TBD",NULL,"typography","Large text size","1","203","2026-05-12 00:00:00","2026-05-12 00:00:00"
"204","text","size-xl","--ds-text-size-xl","TBD",NULL,"typography","Extra large text size","1","204","2026-05-12 00:00:00","2026-05-12 00:00:00"
"205","text","size-2xl","--ds-text-size-2xl","TBD",NULL,"typography","2x large text size","1","205","2026-05-12 00:00:00","2026-05-12 00:00:00"
"206","text","font-regular","--ds-text-font-regular","TBD",NULL,"typography","Regular font weight","1","206","2026-05-12 00:00:00","2026-05-12 00:00:00"
"207","text","font-medium","--ds-text-font-medium","TBD",NULL,"typography","Medium font weight","1","207","2026-05-12 00:00:00","2026-05-12 00:00:00"
"208","text","font-semibold","--ds-text-font-semibold","TBD",NULL,"typography","Semibold font weight","1","208","2026-05-12 00:00:00","2026-05-12 00:00:00"
"209","text","font-bold","--ds-text-font-bold","TBD",NULL,"typography","Bold font weight","1","209","2026-05-12 00:00:00","2026-05-12 00:00:00"
"210","text","color-primary","--ds-text-color-primary","TBD",NULL,"color","Primary text color","1","210","2026-05-12 00:00:00","2026-05-12 00:00:00"
"211","text","color-secondary","--ds-text-color-secondary","TBD",NULL,"color","Secondary text color","1","211","2026-05-12 00:00:00","2026-05-12 00:00:00"
"212","text","color-muted","--ds-text-color-muted","TBD",NULL,"color","Muted text color","1","212","2026-05-12 00:00:00","2026-05-12 00:00:00"
"213","text","color-inverse","--ds-text-color-inverse","TBD",NULL,"color","Inverse text color for dark surfaces","1","213","2026-05-12 00:00:00","2026-05-12 00:00:00"
"250","surface","base","--ds-surface-base","TBD",NULL,"color","Base surface background","1","250","2026-05-12 00:00:00","2026-05-12 00:00:00"
"251","surface","raised","--ds-surface-raised","TBD",NULL,"color","Raised surface background","1","251","2026-05-12 00:00:00","2026-05-12 00:00:00"
"252","surface","subtle","--ds-surface-subtle","TBD",NULL,"color","Subtle surface background","1","252","2026-05-12 00:00:00","2026-05-12 00:00:00"
"253","surface","overlay","--ds-surface-overlay","TBD",NULL,"color","Overlay surface background","1","253","2026-05-12 00:00:00","2026-05-12 00:00:00"
"254","surface","hover","--ds-surface-hover","TBD",NULL,"color","Hover surface background","1","254","2026-05-12 00:00:00","2026-05-12 00:00:00"
"255","surface","active","--ds-surface-active","TBD",NULL,"color","Active surface background","1","255","2026-05-12 00:00:00","2026-05-12 00:00:00"
"256","surface","disabled","--ds-surface-disabled","TBD",NULL,"color","Disabled surface background","1","256","2026-05-12 00:00:00","2026-05-12 00:00:00"
"300","border","default","--ds-border-default","TBD",NULL,"color","Default border color","1","300","2026-05-12 00:00:00","2026-05-12 00:00:00"
"301","border","muted","--ds-border-muted","TBD",NULL,"color","Muted border color","1","301","2026-05-12 00:00:00","2026-05-12 00:00:00"
"302","border","strong","--ds-border-strong","TBD",NULL,"color","Strong border color","1","302","2026-05-12 00:00:00","2026-05-12 00:00:00"
"303","border","focus","--ds-border-focus","TBD",NULL,"color","Focus border color","1","303","2026-05-12 00:00:00","2026-05-12 00:00:00"
"304","border","danger","--ds-border-danger","TBD",NULL,"color","Danger border color","1","304","2026-05-12 00:00:00","2026-05-12 00:00:00"
"305","border","warning","--ds-border-warning","TBD",NULL,"color","Warning border color","1","305","2026-05-12 00:00:00","2026-05-12 00:00:00"
"306","border","success","--ds-border-success","TBD",NULL,"color","Success border color","1","306","2026-05-12 00:00:00","2026-05-12 00:00:00"
"307","border","info","--ds-border-info","TBD",NULL,"color","Info border color","1","307","2026-05-12 00:00:00","2026-05-12 00:00:00"
"350","radius","xs","--ds-radius-xs","TBD",NULL,"radius","Extra small border radius","1","350","2026-05-12 00:00:00","2026-05-12 00:00:00"
"351","radius","sm","--ds-radius-sm","TBD",NULL,"radius","Small border radius","1","351","2026-05-12 00:00:00","2026-05-12 00:00:00"
"352","radius","md","--ds-radius-md","TBD",NULL,"radius","Medium border radius","1","352","2026-05-12 00:00:00","2026-05-12 00:00:00"
"353","radius","lg","--ds-radius-lg","TBD",NULL,"radius","Large border radius","1","353","2026-05-12 00:00:00","2026-05-12 00:00:00"
"354","radius","xl","--ds-radius-xl","TBD",NULL,"radius","Extra large border radius","1","354","2026-05-12 00:00:00","2026-05-12 00:00:00"
"355","radius","full","--ds-radius-full","TBD",NULL,"radius","Full border radius (pill)","1","355","2026-05-12 00:00:00","2026-05-12 00:00:00"
"356","radius","control","--ds-radius-control","TBD",NULL,"radius","Control border radius","1","356","2026-05-12 00:00:00","2026-05-12 00:00:00"
"357","radius","card","--ds-radius-card","TBD",NULL,"radius","Card border radius","1","357","2026-05-12 00:00:00","2026-05-12 00:00:00"
"400","shadow","none","--ds-shadow-none","TBD",NULL,"shadow","No shadow","1","400","2026-05-12 00:00:00","2026-05-12 00:00:00"
"401","shadow","xs","--ds-shadow-xs","TBD",NULL,"shadow","Extra small shadow","1","401","2026-05-12 00:00:00","2026-05-12 00:00:00"
"402","shadow","sm","--ds-shadow-sm","TBD",NULL,"shadow","Small shadow","1","402","2026-05-12 00:00:00","2026-05-12 00:00:00"
"403","shadow","md","--ds-shadow-md","TBD",NULL,"shadow","Medium shadow","1","403","2026-05-12 00:00:00","2026-05-12 00:00:00"
"404","shadow","lg","--ds-shadow-lg","TBD",NULL,"shadow","Large shadow","1","404","2026-05-12 00:00:00","2026-05-12 00:00:00"
"405","shadow","dropdown","--ds-shadow-dropdown","TBD",NULL,"shadow","Dropdown shadow","1","405","2026-05-12 00:00:00","2026-05-12 00:00:00"
"406","shadow","alert","--ds-shadow-alert","TBD",NULL,"shadow","Alert shadow","1","406","2026-05-12 00:00:00","2026-05-12 00:00:00"
"450","spacing","space-1","--ds-space-1","TBD",NULL,"spacing","1 unit spacing","1","450","2026-05-12 00:00:00","2026-05-12 00:00:00"
"451","spacing","space-2","--ds-space-2","TBD",NULL,"spacing","2 unit spacing","1","451","2026-05-12 00:00:00","2026-05-12 00:00:00"
"452","spacing","space-3","--ds-space-3","TBD",NULL,"spacing","3 unit spacing","1","452","2026-05-12 00:00:00","2026-05-12 00:00:00"
"453","spacing","space-4","--ds-space-4","TBD",NULL,"spacing","4 unit spacing","1","453","2026-05-12 00:00:00","2026-05-12 00:00:00"
"454","spacing","space-5","--ds-space-5","TBD",NULL,"spacing","5 unit spacing","1","454","2026-05-12 00:00:00","2026-05-12 00:00:00"
"455","spacing","space-6","--ds-space-6","TBD",NULL,"spacing","6 unit spacing","1","455","2026-05-12 00:00:00","2026-05-12 00:00:00"
"456","spacing","space-8","--ds-space-8","TBD",NULL,"spacing","8 unit spacing","1","456","2026-05-12 00:00:00","2026-05-12 00:00:00"
"457","spacing","space-10","--ds-space-10","TBD",NULL,"spacing","10 unit spacing","1","457","2026-05-12 00:00:00","2026-05-12 00:00:00"
"458","spacing","space-12","--ds-space-12","TBD",NULL,"spacing","12 unit spacing","1","458","2026-05-12 00:00:00","2026-05-12 00:00:00"
"459","spacing","gap-sm","--ds-gap-sm","TBD",NULL,"spacing","Small gap","1","459","2026-05-12 00:00:00","2026-05-12 00:00:00"
"460","spacing","gap-md","--ds-gap-md","TBD",NULL,"spacing","Medium gap","1","460","2026-05-12 00:00:00","2026-05-12 00:00:00"
"461","spacing","gap-lg","--ds-gap-lg","TBD",NULL,"spacing","Large gap","1","461","2026-05-12 00:00:00","2026-05-12 00:00:00"
"462","spacing","input-px","--ds-input-px","TBD",NULL,"spacing","Input horizontal padding","1","462","2026-05-12 00:00:00","2026-05-12 00:00:00"
"463","spacing","input-py","--ds-input-py","TBD",NULL,"spacing","Input vertical padding","1","463","2026-05-12 00:00:00","2026-05-12 00:00:00"
"464","spacing","table-cell-px","--ds-table-cell-px","TBD",NULL,"spacing","Table cell horizontal padding","1","464","2026-05-12 00:00:00","2026-05-12 00:00:00"
"465","spacing","table-cell-py","--ds-table-cell-py","TBD",NULL,"spacing","Table cell vertical padding","1","465","2026-05-12 00:00:00","2026-05-12 00:00:00"
"466","spacing","form-label-mb","--ds-form-label-mb","TBD",NULL,"spacing","Form label margin bottom","1","466","2026-05-12 00:00:00","2026-05-12 00:00:00"
"467","spacing","form-hint-mt","--ds-form-hint-mt","TBD",NULL,"spacing","Form hint margin top","1","467","2026-05-12 00:00:00","2026-05-12 00:00:00"
"500","layout","header-h","--ds-layout-header-h","TBD",NULL,"layout","Header height","1","500","2026-05-12 00:00:00","2026-05-12 00:00:00"
"501","layout","footer-h","--ds-layout-footer-h","TBD",NULL,"layout","Footer height","1","501","2026-05-12 00:00:00","2026-05-12 00:00:00"
"502","layout","sidebar-w","--ds-layout-sidebar-w","TBD",NULL,"layout","Sidebar width","1","502","2026-05-12 00:00:00","2026-05-12 00:00:00"
"503","layout","sidebar-w-collapsed","--ds-layout-sidebar-w-collapsed","TBD",NULL,"layout","Collapsed sidebar width","1","503","2026-05-12 00:00:00","2026-05-12 00:00:00"
"504","layout","shell-gap","--ds-layout-shell-gap","TBD",NULL,"layout","Shell region gap","1","504","2026-05-12 00:00:00","2026-05-12 00:00:00"
"550","nav-header","bg","--ds-nav-header-bg","TBD",NULL,"color","Header background","1","550","2026-05-12 00:00:00","2026-05-12 00:00:00"
"551","nav-header","border","--ds-nav-header-border","TBD",NULL,"color","Header border color","1","551","2026-05-12 00:00:00","2026-05-12 00:00:00"
"552","nav-header","text","--ds-nav-header-text","TBD",NULL,"color","Header text color","1","552","2026-05-12 00:00:00","2026-05-12 00:00:00"
"553","nav-header","dropdown-bg","--ds-nav-header-dropdown-bg","TBD",NULL,"color","Header dropdown background","1","553","2026-05-12 00:00:00","2026-05-12 00:00:00"
"554","nav-header","dropdown-border","--ds-nav-header-dropdown-border","TBD",NULL,"color","Header dropdown border","1","554","2026-05-12 00:00:00","2026-05-12 00:00:00"
