"Id","Scope","TokenKey","Description","CssVariable","DefaultValue","CurrentValue","ComponentGroup","Family","Variant","Property","GroupName","IsActive","Enabled","SortOrder","CreatedAt","UpdatedAt","Category"
"100000","global","color-primary","Primary brand colour","--ds-color-primary","#0d6efd","#0d6efd","global","color","primary","bg","colors","1","1","1","2026-06-04 17:40:21","2026-06-04 20:12:08","color"
"200000","component","btn-basic-primary-bg","Background colour for Basic Primary button","--ds-btn-basic-primary-bg","#0d6efd","#0d6efd","btn","basic","primary","bg","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200001","component","btn-basic-primary-text","Text colour for Basic Primary button","--ds-btn-basic-primary-text","#ffffff","#ffffff","btn","basic","primary","text","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200002","component","btn-basic-primary-border","Border colour for Basic Primary button","--ds-btn-basic-primary-border","#0a58ca","#0a58ca","btn","basic","primary","border","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200003","component","btn-basic-primary-hover-bg","Hover background colour for Basic Primary button","--ds-btn-basic-primary-hover-bg","#0b5ed7","#0b5ed7","btn","basic","primary","hover-bg","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200004","component","btn-basic-primary-hover-text","Hover text colour for Basic Primary button","--ds-btn-basic-primary-hover-text","#ffffff","#ffffff","btn","basic","primary","hover-text","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200005","component","btn-basic-primary-hover-border","Hover border colour for Basic Primary button","--ds-btn-basic-primary-hover-border","#0a53be","#0a53be","btn","basic","primary","hover-border","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200006","component","btn-basic-primary-disabled-bg","Disabled background colour for Basic Primary button","--ds-btn-basic-primary-disabled-bg","#cfe2ff","#cfe2ff","btn","basic","primary","disabled-bg","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200007","component","btn-basic-primary-disabled-text","Disabled text colour for Basic Primary button","--ds-btn-basic-primary-disabled-text","#6c757d","#6c757d","btn","basic","primary","disabled-text","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200008","component","btn-basic-primary-disabled-border","Disabled border colour for Basic Primary button","--ds-btn-basic-primary-disabled-border","#b6c5d6","#b6c5d6","btn","basic","primary","disabled-border","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200009","component","btn-basic-primary-shadow","Shadow style for Basic Primary button","--ds-btn-basic-primary-shadow","0px 1px 2px rgba(0,0,0,0.15)","0px 1px 2px rgba(0,0,0,0.15)","btn","basic","primary","shadow","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","style"
