"Id","ComponentGroup","TokenKey","CssVariable","DefaultValue","CurrentValue","Category","Description","IsActive","SortOrder","CreatedAt","UpdatedAt"
"10","btn","primary-bg","--ds-btn-primary-bg","#0d6efd","#0d6efd","color","Primary button background colour","1","10","2026-05-12 00:00:00","2026-05-15 15:39:04"
"11","btn","primary-text","--ds-btn-primary-text","#ffffff","#ffffff","color","Primary button text colour","1","11","2026-05-12 00:00:00","2026-05-15 15:39:04"
"12","btn","primary-border","--ds-btn-primary-border","#0d6efd","#0d6efd","color","Primary button border colour","1","12","2026-05-12 00:00:00","2026-05-15 15:39:04"
"13","btn","primary-hover-bg","--ds-btn-primary-hover-bg","#0b5ed7","#0b5ed7","color","Primary button hover background colour","1","13","2026-05-12 00:00:00","2026-05-15 15:39:04"
"20","btn","secondary-bg","--ds-btn-secondary-bg","transparent",NULL,"color","Secondary button background colour","1","20","2026-05-12 00:00:00","2026-05-12 00:00:00"
"21","btn","secondary-text","--ds-btn-secondary-text","#212529",NULL,"color","Secondary button text colour","1","21","2026-05-12 00:00:00","2026-05-12 00:00:00"
"22","btn","secondary-border","--ds-btn-secondary-border","#dee2e6",NULL,"color","Secondary button border colour","1","22","2026-05-12 00:00:00","2026-05-12 00:00:00"
"23","btn","secondary-hover-bg","--ds-btn-secondary-hover-bg","#f8f9fa",NULL,"color","Secondary button hover background colour","1","23","2026-05-12 00:00:00","2026-05-12 00:00:00"
"30","btn","success-bg","--ds-btn-success-bg","#198754",NULL,"color","Success button background colour","1","30","2026-05-12 00:00:00","2026-05-12 00:00:00"
"31","btn","success-text","--ds-btn-success-text","#ffffff",NULL,"color","Success button text colour","1","31","2026-05-12 00:00:00","2026-05-12 00:00:00"
"32","btn","success-border","--ds-btn-success-border","#198754",NULL,"color","Success button border colour","1","32","2026-05-12 00:00:00","2026-05-12 00:00:00"
"33","btn","success-hover-bg","--ds-btn-success-hover-bg","#157347",NULL,"color","Success button hover background colour","1","33","2026-05-12 00:00:00","2026-05-12 00:00:00"
"40","btn","danger-bg","--ds-btn-danger-bg","#dc3545",NULL,"color","Danger button background colour","1","40","2026-05-12 00:00:00","2026-05-12 00:00:00"
"41","btn","danger-text","--ds-btn-danger-text","#ffffff",NULL,"color","Danger button text colour","1","41","2026-05-12 00:00:00","2026-05-12 00:00:00"
"42","btn","danger-border","--ds-btn-danger-border","#dc3545",NULL,"color","Danger button border colour","1","42","2026-05-12 00:00:00","2026-05-12 00:00:00"
"43","btn","danger-hover-bg","--ds-btn-danger-hover-bg","#bb2d3b",NULL,"color","Danger button hover background colour","1","43","2026-05-12 00:00:00","2026-05-12 00:00:00"
"50","btn","warning-bg","--ds-btn-warning-bg","#ffc107",NULL,"color","Warning button background colour","1","50","2026-05-12 00:00:00","2026-05-12 00:00:00"
"51","btn","warning-text","--ds-btn-warning-text","#212529",NULL,"color","Warning button text colour","1","51","2026-05-12 00:00:00","2026-05-12 00:00:00"
"52","btn","warning-border","--ds-btn-warning-border","#ffc107",NULL,"color","Warning button border colour","1","52","2026-05-12 00:00:00","2026-05-12 00:00:00"
"53","btn","warning-hover-bg","--ds-btn-warning-hover-bg","#ffca2c",NULL,"color","Warning button hover background colour","1","53","2026-05-12 00:00:00","2026-05-12 00:00:00"
"60","btn","info-bg","--ds-btn-info-bg","#0dcaf0",NULL,"color","Info button background colour","1","60","2026-05-12 00:00:00","2026-05-12 00:00:00"
"61","btn","info-text","--ds-btn-info-text","#212529",NULL,"color","Info button text colour","1","61","2026-05-12 00:00:00","2026-05-12 00:00:00"
"62","btn","info-border","--ds-btn-info-border","#0dcaf0",NULL,"color","Info button border colour","1","62","2026-05-12 00:00:00","2026-05-12 00:00:00"
"63","btn","info-hover-bg","--ds-btn-info-hover-bg","#31d2f2",NULL,"color","Info button hover background colour","1","63","2026-05-12 00:00:00","2026-05-12 00:00:00"
"70","btn","border-radius","--ds-btn-border-radius","6px",NULL,"structure","Button border radius","1","70","2026-05-12 00:00:00","2026-05-12 00:00:00"
"71","btn","font-size","--ds-btn-font-size","0.875rem",NULL,"structure","Button font size","1","71","2026-05-12 00:00:00","2026-05-12 00:00:00"
"72","btn","padding-y","--ds-btn-padding-y","7px",NULL,"structure","Button vertical padding","1","72","2026-05-12 00:00:00","2026-05-12 00:00:00"
"73","btn","padding-x","--ds-btn-padding-x","16px",NULL,"structure","Button horizontal padding","1","73","2026-05-12 00:00:00","2026-05-12 00:00:00"
"100","card","bg","--ds-card-bg","#ffffff",NULL,"color","Card background colour","1","100","2026-05-12 00:00:00","2026-05-12 00:00:00"
"101","card","border-color","--ds-card-border-color","#dee2e6",NULL,"color","Card border colour","1","101","2026-05-12 00:00:00","2026-05-12 00:00:00"
"102","card","radius","--ds-card-radius","8px",NULL,"structure","Card border radius","1","102","2026-05-12 00:00:00","2026-05-12 00:00:00"
"103","card","shadow","--ds-card-shadow","0 1px 4px rgba(0, 0, 0, 0.06)",NULL,"structure","Card box shadow","1","103","2026-05-12 00:00:00","2026-05-12 00:00:00"
"104","card","header-bg","--ds-card-header-bg","#f8f9fa",NULL,"color","Card header background colour","1","104","2026-05-12 00:00:00","2026-05-12 00:00:00"
"105","card","padding","--ds-card-padding","1.25rem",NULL,"structure","Card body padding","1","105","2026-05-12 00:00:00","2026-05-12 00:00:00"
"106","btn","btn-light-bg","--ds-btn-light-bg","#f8f9fa",NULL,"color","Light button background","1","106","2026-05-15 01:00:11","2026-05-15 01:00:11"
"107","btn","btn-light-text","--ds-btn-light-text","#212529",NULL,"color","Light button text","1","107","2026-05-15 01:00:11","2026-05-15 01:00:11"
"108","btn","btn-light-border","--ds-btn-light-border","#f8f9fa",NULL,"color","Light button border","1","108","2026-05-15 01:00:11","2026-05-15 01:00:11"
"109","btn","btn-light-hover-bg","--ds-btn-light-hover-bg","#e2e6ea",NULL,"color","Light button hover background","1","109","2026-05-15 01:00:11","2026-05-15 01:00:11"
"110","btn","btn-light-hover-text","--ds-btn-light-hover-text","#212529",NULL,"color","Light button hover text","1","110","2026-05-15 01:00:11","2026-05-15 01:00:11"
"111","btn","btn-light-hover-border","--ds-btn-light-hover-border","#dae0e5",NULL,"color","Light button hover border","1","111","2026-05-15 01:00:11","2026-05-15 01:00:11"
"112","btn","btn-light-disabled-bg","--ds-btn-light-disabled-bg","#f8f9fa",NULL,"color","Light button disabled background","1","112","2026-05-15 01:00:11","2026-05-15 01:00:11"
"113","btn","btn-light-disabled-text","--ds-btn-light-disabled-text","#212529",NULL,"color","Light button disabled text","1","113","2026-05-15 01:00:11","2026-05-15 01:00:11"
