"Id","TokenKey","Description","CssVariable","DefaultValue","CurrentValue","ComponentGroup","Family","Variant","Property","Category","GroupName","IsActive","Editable","SortOrder","CreatedAt","UpdatedAt"
"1","btn-basic-primary-bg","Background colour for Basic Primary button","--ds-btn-basic-primary-bg","#0d6efd","#0d6efd","btn","basic","primary","bg","color","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"2","btn-basic-primary-text","Text colour for Basic Primary button","--ds-btn-basic-primary-text","#ffffff","#ffffff","btn","basic","primary","text","color","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"3","btn-basic-primary-border","Border colour for Basic Primary button","--ds-btn-basic-primary-border","#0a58ca","#0a58ca","btn","basic","primary","border","color","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"4","btn-basic-primary-hover-bg","Hover background colour for Basic Primary button","--ds-btn-basic-primary-hover-bg","#0b5ed7","#0b5ed7","btn","basic","primary","hover-bg","color","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"5","btn-basic-primary-hover-text","Hover text colour for Basic Primary button","--ds-btn-basic-primary-hover-text","#ffffff","#ffffff","btn","basic","primary","hover-text","color","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"6","btn-basic-primary-hover-border","Hover border colour for Basic Primary button","--ds-btn-basic-primary-hover-border","#0a53be","#0a53be","btn","basic","primary","hover-border","color","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"7","btn-basic-primary-disabled-bg","Disabled background colour for Basic Primary button","--ds-btn-basic-primary-disabled-bg","#cfe2ff","#cfe2ff","btn","basic","primary","disabled-bg","color","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"8","btn-basic-primary-disabled-text","Disabled text colour for Basic Primary button","--ds-btn-basic-primary-disabled-text","#6c757d","#6c757d","btn","basic","primary","disabled-text","color","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"9","btn-basic-primary-disabled-border","Disabled border colour for Basic Primary button","--ds-btn-basic-primary-disabled-border","#b6c5d6","#b6c5d6","btn","basic","primary","disabled-border","color","Basic Primary","1","1","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"10","btn-basic-primary-shadow","Shadow style for Basic Primary button","--ds-btn-basic-primary-shadow","0px 1px 2px rgba(0,0,0,0.15)","0px 1px 2px rgba(0,0,0,0.15)","btn","basic","primary","shadow","style","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"11","btn-basic-primary-radius","Border radius for Basic Primary button","--ds-btn-basic-primary-radius","4px","4px","btn","basic","primary","radius","style","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"12","btn-basic-primary-padding-x","Horizontal padding for Basic Primary button","--ds-btn-basic-primary-padding-x","12px","12px","btn","basic","primary","padding-x","layout","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"13","btn-basic-primary-padding-y","Vertical padding for Basic Primary button","--ds-btn-basic-primary-padding-y","8px","8px","btn","basic","primary","padding-y","layout","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"14","btn-basic-primary-gap","Gap between icon and text for Basic Primary button","--ds-btn-basic-primary-gap","6px","6px","btn","basic","primary","gap","layout","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"15","btn-basic-primary-focus-ring","Focus ring style for Basic Primary button","--ds-btn-basic-primary-focus-ring","0 0 0 3px rgba(13,110,253,0.25)","0 0 0 3px rgba(13,110,253,0.25)","btn","basic","primary","focus-ring","style","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"16","btn-basic-primary-outline","Outline style for Basic Primary button","--ds-btn-basic-primary-outline","none","none","btn","basic","primary","outline","style","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"17","btn-basic-primary-transition","Transition style for Basic Primary button","--ds-btn-basic-primary-transition","all 0.2s ease-in-out","all 0.2s ease-in-out","btn","basic","primary","transition","style","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"18","btn-basic-primary-icon-color","Icon colour for Basic Primary button","--ds-btn-basic-primary-icon-color","#ffffff","#ffffff","btn","basic","primary","icon-color","color","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"19","btn-basic-primary-icon-size","Icon size for Basic Primary button","--ds-btn-basic-primary-icon-size","16px","16px","btn","basic","primary","icon-size","layout","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
"20","btn-basic-primary-line-height","Line height for Basic Primary button text","--ds-btn-basic-primary-line-height","1.2","1.2","btn","basic","primary","line-height","layout","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 16:34:16"
