"Id";"RoleTypeName";"PageId";"CanRead";"CanWrite";"CanCreate";"CanDelete";"CanImport";"CanExport";"CreatedAt"
"71";"super_admin";"301030";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"72";"super_admin";"202030";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"73";"super_admin";"201030";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"74";"super_admin";"301010";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"75";"super_admin";"802010";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"76";"super_admin";"202010";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"77";"super_admin";"201010";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"78";"super_admin";"401010";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"79";"super_admin";"101020";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"80";"super_admin";"501010";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"81";"super_admin";"301020";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"82";"super_admin";"602010";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"83";"super_admin";"701010";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"84";"super_admin";"101010";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"85";"super_admin";"801040";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"86";"super_admin";"802020";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"87";"super_admin";"802030";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"88";"super_admin";"801030";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"89";"super_admin";"801020";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
"90";"super_admin";"101030";"1";"1";"1";"1";"1";"1";"2026-04-24 16:00:29.362124"
