"Id";"Name";"Code";"Description";"CreatedAt";"UpdatedAt"
"1";"Foundation Area 1";"FOUNDATION_AREA_1";"Main early years learning space used by Foundation staff.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"2";"Foundation Area 2";"FOUNDATION_AREA_2";"Secondary early years area used for group work and continuous provision.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"3";"Foundation Area 3";"FOUNDATION_AREA_3";"Additional early years space used for small-group activities.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"4";"Classroom 01";"CLASSROOM_01";"Primary teaching classroom for Class 01.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"5";"Classroom 02";"CLASSROOM_02";"Primary teaching classroom for Class 02.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"6";"Classroom 03";"CLASSROOM_03";"Primary teaching classroom for Class 03.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"7";"Classroom 04";"CLASSROOM_04";"Primary teaching classroom for Class 04.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"8";"Classroom 05";"CLASSROOM_05";"Primary teaching classroom for Class 05.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"9";"Classroom 06";"CLASSROOM_06";"Primary teaching classroom for Class 06.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"10";"Classroom 07";"CLASSROOM_07";"Primary teaching classroom for Class 07.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"11";"Classroom 08";"CLASSROOM_08";"Primary teaching classroom for Class 08.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
"12";"Classroom 09";"CLASSROOM_09";"Primary teaching classroom for Class 09.";"2026-03-20 10:00:00.000000";"2026-03-20 10:00:00.000000"
