"Id";"StaffId";"QualificationName";"AwardingBody";"Level";"DateAwarded";"DateExpires";"Notes";"CreatedAt";"UpdatedAt"
"1";"1";"QTS";"Department for Education";"Level 6";"2015-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"2";"2";"PGCE Primary Education";"University of Derby";"Level 7";"2018-07-15";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"3";"3";"BA (Hons) English";"University of Nottingham";"Level 6";"2012-06-20";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"4";"4";"QTS";"Department for Education";"Level 6";"2014-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"5";"5";"BSc (Hons) Mathematics";"University of Sheffield";"Level 6";"2011-06-30";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"6";"6";"PGCE Secondary Science";"University of Derby";"Level 7";"2017-07-10";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"7";"7";"NPQML";"Department for Education";"Level 5";"2020-03-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"8";"8";"QTS";"Department for Education";"Level 6";"2013-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"9";"9";"Level 3 Teaching Assistant";"NCFE";"Level 3";"2019-05-12";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"10";"10";"Level 4 HLTA";"TQUK";"Level 4";"2021-09-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"11";"11";"QTS";"Department for Education";"Level 6";"2016-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"12";"12";"PGCE Secondary Maths";"University of Warwick";"Level 7";"2019-07-20";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"13";"13";"BA (Hons) Geography";"University of Leeds";"Level 6";"2010-06-25";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"14";"14";"QTS";"Department for Education";"Level 6";"2012-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"15";"15";"Level 3 SEN Support";"CACHE";"Level 3";"2020-11-10";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"16";"16";"Safeguarding Level 3";"NSPCC";"Level 3";"2023-01-15";"2026-01-15";"Annual refresher required";"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"17";"18";"QTS";"Department for Education";"Level 6";"2014-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"18";"19";"PGCE Secondary English";"University of Derby";"Level 7";"2018-07-12";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"19";"20";"BA (Hons) History";"University of Birmingham";"Level 6";"2011-06-18";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"20";"21";"NPQSL";"Department for Education";"Level 6";"2021-04-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"21";"22";"QTS";"Department for Education";"Level 6";"2013-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"22";"23";"PGCE Primary Education";"University of Derby";"Level 7";"2017-07-15";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"23";"24";"Level 3 Teaching Assistant";"NCFE";"Level 3";"2019-03-10";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"24";"25";"Safeguarding Level 2";"NSPCC";"Level 2";"2022-02-01";"2025-02-01";NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"25";"26";"QTS";"Department for Education";"Level 6";"2015-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"26";"27";"QTS";"Department for Education";"Level 6";"2016-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"27";"28";"PGCE Secondary PE";"University of Loughborough";"Level 7";"2019-07-18";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"28";"29";"BA (Hons) Art & Design";"University of Derby";"Level 6";"2013-06-22";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"29";"30";"QTS";"Department for Education";"Level 6";"2015-07-01";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"30";"31";"Level 3 Teaching Assistant";"NCFE";"Level 3";"2020-05-10";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"31";"32";"Safeguarding Level 3";"NSPCC";"Level 3";"2023-02-01";"2026-02-01";"Annual refresher required";"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"32";"33";"PGCE Secondary Geography";"University of Nottingham";"Level 7";"2018-07-14";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
"33";"34";"BSc (Hons) Computing";"University of Derby";"Level 6";"2012-06-28";NULL;NULL;"2026-03-15 13:36:00";"2026-03-15 13:36:00"
