ItemType,Id,ParentId,Label,Icon,IsHidden,Route,SortOrder,CreatedAt,UpdatedAt,Category,GroupName,GroupIcon,IsFlat,Status,Description
category,100000,,Main Sidebar,,0,,100000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,Main Sidebar,,,,,,
menu,101000,100000,Dashboard,bi-speedometer2,0,,101000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,Main Sidebar,Dashboard,bi-speedometer2,0,, "Access high-level operational insights and key performance indicators."
submenu,101010,101000,Operational Overview,bi-graph-up,0,/v2/dashboard/overview,101010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,Main Sidebar,Dashboard,bi-speedometer2,0,active,"View real-time metrics summarising whole-school performance."
submenu,101020,101000,Attendance & Trends,bi-bar-chart-line,0,/v2/dashboard/trends,101020,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,Main Sidebar,Dashboard,bi-speedometer2,0,active,"Analyse attendance patterns and identify emerging trends."
submenu,101030,101000,Safeguarding & Wellbeing,bi-shield-check,0,/v2/dashboard/safeguarding,101030,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,Main Sidebar,Dashboard,bi-speedometer2,0,active,"Monitor safeguarding alerts and wellbeing indicators across the school."

category,200000,,PEOPLE,,0,,200000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,,,,,,
menu,201000,200000,Students,bi-mortarboard,0,,201000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,Students,bi-mortarboard,0,, "Manage student records, profiles, and enrolment details."
submenu,201010,201000,All Students,bi-people,0,/v2/students,201010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,Students,bi-mortarboard,0,active,"Browse and search the full list of enrolled students."
submenu,201020,201000,Student Details,bi-person-lines-fill,0,/v2/students/details,201020,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,Students,bi-mortarboard,0,active,"View and update detailed information for an individual student."
submenu,201030,201000,Add Student,bi-person-plus,0,/v2/students/new,201030,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,Students,bi-mortarboard,0,active,"Create a new student record and assign initial details."

menu,202000,200000,Staff,bi-person-badge,0,,202000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,Staff,bi-person-badge,0,, "Manage staff profiles, roles, and employment information."
submenu,202010,202000,All Staff,bi-people-fill,0,/v2/staff,202010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,Staff,bi-person-badge,0,active,"Browse and search the full list of staff members."
submenu,202020,202000,Staff Details,bi-person-lines-fill,0,/v2/staff/details,202020,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,Staff,bi-person-badge,0,active,"View and update detailed information for an individual staff member."
submenu,202030,202000,Add Staff,bi-person-plus-fill,0,/v2/staff/new,202030,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,Staff,bi-person-badge,0,active,"Create a new staff record and assign initial details."

menu,203000,200000,Parents,bi-telephone-inbound,0,,203000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,PEOPLE,Parents,bi-telephone-inbound,0,, "Manage parent and guardian contact information."

category,300000,,ACADEMICS,,0,,300000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,ACADEMICS,,,,,,
menu,301000,300000,Classes,bi-book-fill,0,,301000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,ACADEMICS,Classes,bi-book-fill,0,, "Manage class groups, timetables, and academic structures."
submenu,301010,301000,All Classes,bi-building,0,/v2/classes,301010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,ACADEMICS,Classes,bi-book-fill,0,active,"Browse and search all class groups across the school."
submenu,301020,301000,Class Details,bi-card-text,0,/v2/classes/details,301020,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,ACADEMICS,Classes,bi-book-fill,0,active,"View and update information for a specific class group."
submenu,301030,301000,Add Class,bi-plus-square,0,/v2/classes/new,301030,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,ACADEMICS,Classes,bi-book-fill,0,active,"Create a new class group and assign staff and students."

category,400000,,ATTENDANCE,,0,,400000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,ATTENDANCE,,,,,,
menu,401000,400000,Attendance,bi-calendar-check-fill,1,,401000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,ATTENDANCE,Attendance,bi-calendar-check-fill,0,, "Access attendance registers and reporting tools."
