Field Name,Data Type,Description,Example Value,Links To
Id,INT,Primary key for the user account,1,
Username,VARCHAR(100),Unique login username,mbattle,
Email,VARCHAR(255),User email address,mbattle@orchard.leics.sch.uk,
EmailVerifiedAt,DATETIME,When the email was verified,NULL,
PasswordHash,VARCHAR(255),Hashed password for authentication,$2a$10$abc...,
StaffId,INT,Optional link to Staff record,1023,Staff(Id)
Status,VARCHAR(50),Account status Active Disabled Locked,Active,
IsAdmin,BOOLEAN,Legacy admin flag (should be replaced by roles),0,
LastLoginAt,DATETIME,Last login timestamp,2026-04-14 09:00:00,
LastLoginIp,VARCHAR(50),IP address of last login,192.168.1.10,
LoginCount,INT,Number of successful logins,12,
IsTwoFactorEnabled,BOOLEAN,Whether 2FA is enabled,1,
TwoFactorSecret,VARCHAR(255),Secret key for 2FA,NULL,
BackupCodes,VARCHAR(500),Backup codes for 2FA,NULL,
RememberToken,VARCHAR(255),Token for persistent login,NULL,
Timezone,VARCHAR(50),User timezone,UTC,
LanguageCode,VARCHAR(10),Preferred language,en,
CreatedAt,DATETIME,Record creation timestamp,2026-04-14 08:00:00,
UpdatedAt,DATETIME,Record update timestamp,2026-04-14 09:00:00,
