id,title,slug,is_visible,url,route_name,icon,icon_color,tooltip,badge_count,is_collapsible,permission_key,component,order,is_external,parent_id,display_order,menu_group,is_favorite,created_at,updated_at
1,Dashboard,dashboard,1,NULL,dashboard.index,fas fa-tachometer-alt,#333,Main dashboard,NULL,1,view_dashboard,NULL,1,0,NULL,1,main,0,20/08/2025 00:00,20/08/2025 00:00
2,System Overview,system-overview,1,NULL,dashboard.overview,fas fa-info-circle,#333,System status overview,NULL,0,view_system_overview,NULL,2,0,1,1,main,0,20/08/2025 00:00,20/08/2025 00:00
3,My Activity,my-activity,1,NULL,dashboard.activity,fas fa-user-clock,#333,Your recent activity,NULL,0,view_activity,NULL,3,0,1,2,main,0,20/08/2025 00:00,20/08/2025 00:00
4,Quick Actions,quick-actions,1,NULL,dashboard.quick,fas fa-bolt,#333,Shortcuts for common actions,NULL,0,view_quick_actions,NULL,4,0,1,3,main,0,20/08/2025 00:00,20/08/2025 00:00
5,Agent Dashboard,agent-dashboard,1,NULL,dashboard.agent,fas fa-user-tie,#333,Agent-specific dashboard,NULL,0,view_agent_dashboard,NULL,5,0,1,4,main,0,20/08/2025 00:00,20/08/2025 00:00
6,Manager Dashboard,manager-dashboard,1,NULL,dashboard.manager,fas fa-user-cog,#333,Manager dashboard,NULL,0,view_manager_dashboard,NULL,6,0,1,5,main,0,20/08/2025 00:00,20/08/2025 00:00
7,Admin Dashboard,admin-dashboard,1,NULL,dashboard.admin,fas fa-crown,#333,Admin dashboard,NULL,0,view_admin_dashboard,NULL,7,0,1,6,main,0,20/08/2025 00:00,20/08/2025 00:00
8,Custom Dashboard,custom-dashboard,1,NULL,dashboard.custom,fas fa-th-large,#333,Custom dashboard,NULL,1,view_custom_dashboard,NULL,8,0,1,7,main,0,20/08/2025 00:00,20/08/2025 00:00
9,Add Card,add-card,1,NULL,dashboard.custom.add,fas fa-plus,#333,Add dashboard card,NULL,0,add_dashboard_card,NULL,9,0,8,1,main,0,20/08/2025 00:00,20/08/2025 00:00
10,Reorder Cards,reorder-cards,1,NULL,dashboard.custom.reorder,fas fa-sort,#333,Reorder dashboard cards,NULL,0,reorder_dashboard_cards,NULL,10,0,8,2,main,0,20/08/2025 00:00,20/08/2025 00:00
11,Save Layout,save-layout,1,NULL,dashboard.custom.save,fas fa-save,#333,Save dashboard layout,NULL,0,save_dashboard_layout,NULL,11,0,8,3,main,0,20/08/2025 00:00,20/08/2025 00:00
12,Set Default,set-default,1,NULL,dashboard.custom.default,fas fa-star,#333,Set default dashboard layout,NULL,0,set_default_dashboard,NULL,12,0,8,4,main,0,20/08/2025 00:00,20/08/2025 00:00
13,Tickets,tickets,1,NULL,tickets.index,fas fa-ticket-alt,#333,Ticket management,NULL,1,view_tickets,NULL,13,0,NULL,1,tickets,0,20/08/2025 00:00,20/08/2025 00:00
14,Create Ticket,create-ticket,1,NULL,tickets.create,fas fa-plus,#333,Create a new ticket,NULL,0,create_ticket,NULL,14,0,13,1,tickets,0,20/08/2025 00:00,20/08/2025 00:00
15,My Tickets,my-tickets,1,NULL,tickets.my,fas fa-list,#333,Your assigned tickets,NULL,0,view_my_tickets,NULL,15,0,13,2,tickets,0,20/08/2025 00:00,20/08/2025 00:00
16,All Tickets,all-tickets,1,NULL,tickets.all,fas fa-list-alt,#333,List all tickets,NULL,0,view_all_tickets,NULL,16,0,13,3,tickets,0,20/08/2025 00:00,20/08/2025 00:00
17,Unassigned,unassigned-tickets,1,NULL,tickets.unassigned,fas fa-user-slash,#333,Unassigned tickets,NULL,0,view_unassigned_tickets,NULL,17,0,13,4,tickets,0,20/08/2025 00:00,20/08/2025 00:00
18,Closed Tickets,closed-tickets,1,NULL,tickets.closed,fas fa-check,#333,Closed tickets,NULL,0,view_closed_tickets,NULL,18,0,13,5,tickets,0,20/08/2025 00:00,20/08/2025 00:00
19,Templates,ticket-templates,1,NULL,tickets.templates,fas fa-clipboard,#333,Ticket templates,NULL,0,view_ticket_templates,NULL,19,0,13,6,tickets,0,20/08/2025 00:00,20/08/2025 00:00
20,Ticket Tags,ticket-tags,1,NULL,tickets.tags,fas fa-tags,#333,Ticket tags,NULL,0,manage_ticket_tags,NULL,20,0,13,7,tickets,0,20/08/2025 00:00,20/08/2025 00:00
21,Projects,projects,1,NULL,projects.index,fas fa-project-diagram,#333,Project management,NULL,1,view_projects,NULL,21,0,NULL,1,projects,0,20/08/2025 00:00,20/08/2025 00:00
22,All Projects,all-projects,1,NULL,projects.all,fas fa-list,#333,List all projects,NULL,0,view_all_projects,NULL,22,0,21,1,projects,0,20/08/2025 00:00,20/08/2025 00:00
23,Create Project,create-project,1,NULL,projects.create,fas fa-plus,#333,Start a new project,NULL,0,create_project,NULL,23,0,21,2,projects,0,20/08/2025 00:00,20/08/2025 00:00
24,Overview,project-overview,1,NULL,projects.overview,fas fa-eye,#333,Project overview,NULL,0,view_project_overview,NULL,24,0,21,3,projects,0,20/08/2025 00:00,20/08/2025 00:00
25,Milestones,milestones,1,NULL,projects.milestones,fas fa-flag,#333,Project milestones,NULL,0,view_milestones,NULL,25,0,21,4,projects,0,20/08/2025 00:00,20/08/2025 00:00
