"id","title","slug","is_visible","url","route_name","icon","order","is_external","parent_id","display_order","menu_group","created_at","updated_at"
"1","Dashboard","dashboard","1",NULL,"dashboard","fas fa-tachometer-alt","0","0",NULL,"1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"2","System Overview","system-overview","1",NULL,"dashboard.overview","fas fa-info-circle","0","0","1","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"3","My Activity","my-activity","1",NULL,"dashboard.activity","fas fa-user-clock","0","0","1","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"4","Quick Actions","quick-actions","1",NULL,"dashboard.quick","fas fa-bolt","0","0","1","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"5","Agent Dashboard","agent-dashboard","1",NULL,"dashboard.agent","fas fa-user-tie","0","0","1","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"6","Manager Dashboard","manager-dashboard","1",NULL,"dashboard.manager","fas fa-user-cog","0","0","1","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"7","Admin Dashboard","admin-dashboard","1",NULL,"dashboard.admin","fas fa-crown","0","0","1","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"8","Create Custom Dashboard","create-custom-dashboard","1",NULL,"dashboard.custom","fas fa-plus-square","0","0","1","7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"9","Add Card","add-card","1",NULL,"dashboard.custom.add-card","fas fa-plus","0","0","8","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"10","Reorder Cards","reorder-cards","1",NULL,"dashboard.custom.reorder","fas fa-sort","0","0","8","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"11","Save Layout","save-layout","1",NULL,"dashboard.custom.save","fas fa-save","0","0","8","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"12","Set as Default","set-default","1",NULL,"dashboard.custom.default","fas fa-star","0","0","8","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"13","Tickets","tickets","1",NULL,NULL,"fas fa-ticket-alt","0","0",NULL,"2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"14","Create Ticket","create-ticket","1",NULL,"tickets.create","fas fa-plus","0","0","13","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"15","My Tickets","my-tickets","1",NULL,"tickets.my","fas fa-list","0","0","13","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"16","All Tickets","all-tickets","1",NULL,"tickets.all","fas fa-clipboard-list","0","0","13","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"17","Unassigned Tickets","unassigned-tickets","1",NULL,"tickets.unassigned","fas fa-question-circle","0","0","13","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"18","Closed Tickets","closed-tickets","1",NULL,"tickets.closed","fas fa-check-circle","0","0","13","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"19","Ticket Templates","ticket-templates","1",NULL,"tickets.templates","fas fa-clipboard","0","0","13","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"20","Ticket Tags","ticket-tags","1",NULL,"tickets.tags","fas fa-tags","0","0","13","7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"21","Projects","projects","1",NULL,NULL,"fas fa-project-diagram","0","0",NULL,"3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"22","All Projects","all-projects","1",NULL,"projects.index","fas fa-list","0","0","21","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"23","Create Project","create-project","1",NULL,"projects.create","fas fa-plus","0","0","21","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"24","Project Overview","project-overview","1",NULL,"projects.overview","fas fa-eye","0","0","21","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"25","Milestones","milestones","1",NULL,"projects.milestones","fas fa-flag","0","0","21","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"26","Linked Tasks","linked-tasks","1",NULL,"projects.tasks","fas fa-link","0","0","21","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"27","Linked Tickets","linked-tickets","1",NULL,"projects.tickets","fas fa-link","0","0","21","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"28","Team Assignment","team-assignment","1",NULL,"projects.team","fas fa-users","0","0","21","7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"29","Project Files","project-files","1",NULL,"projects.files","fas fa-folder","0","0","21","8","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"30","Project Timeline","project-timeline","1",NULL,"projects.timeline","fas fa-calendar-alt","0","0","21","9","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"31","Project Reports","project-reports","1",NULL,"projects.reports","fas fa-chart-bar","0","0","21","10","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"32","Tasks","tasks","1",NULL,NULL,"fas fa-tasks","0","0",NULL,"4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"33","My Tasks","my-tasks","1",NULL,"tasks.my","fas fa-list","0","0","32","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"34","Team Tasks","team-tasks","1",NULL,"tasks.team","fas fa-users","0","0","32","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"35","Task Templates","task-templates","1",NULL,"tasks.templates","fas fa-clipboard","0","0","32","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"36","Task Statuses","task-statuses","1",NULL,"tasks.statuses","fas fa-check-square","0","0","32","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"37","Linked Projects","linked-projects","1",NULL,"tasks.projects","fas fa-link","0","0","32","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"38","Linked Tickets","linked-tickets-tasks","1",NULL,"tasks.tickets","fas fa-link","0","0","32","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"39","Calendar Sync","calendar-sync","1",NULL,"tasks.calendar","fas fa-sync","0","0","32","7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"40","Knowledge Base","knowledge-base","1",NULL,NULL,"fas fa-book","0","0",NULL,"5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"41","Browse Articles","browse-articles","1",NULL,"knowledge.browse","fas fa-search","0","0","40","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"42","Manage Articles","manage-articles","1",NULL,"knowledge.manage","fas fa-cog","0","0","40","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"43","Categories","categories","1",NULL,"knowledge.categories","fas fa-folder","0","0","40","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"44","Article Feedback","article-feedback","1",NULL,"knowledge.feedback","fas fa-comments","0","0","40","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"45","Drafts & Review Queue","drafts-review","1",NULL,"knowledge.drafts","fas fa-edit","0","0","40","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"46","Calendar","calendar","1",NULL,NULL,"fas fa-calendar","0","0",NULL,"6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"47","My Calendar","my-calendar","1",NULL,"calendar.my","fas fa-user-clock","0","0","46","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"48","Team Calendar","team-calendar","1",NULL,"calendar.team","fas fa-users","0","0","46","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"49","Ticket Deadlines","ticket-deadlines","1",NULL,"calendar.tickets","fas fa-clock","0","0","46","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"50","Task Deadlines","task-deadlines","1",NULL,"calendar.tasks","fas fa-clock","0","0","46","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"51","Event Types","event-types","1",NULL,"calendar.events","fas fa-star","0","0","46","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"52","Sync Settings","sync-settings","1",NULL,"calendar.sync","fas fa-sync-alt","0","0","46","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"53","Email","email","1",NULL,NULL,"fas fa-envelope","0","0",NULL,"7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"54","Inbox","inbox","1",NULL,"email.inbox","fas fa-inbox","0","0","53","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"55","Sent","sent","1",NULL,"email.sent","fas fa-paper-plane","0","0","53","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"56","Drafts","drafts","1",NULL,"email.drafts","fas fa-edit","0","0","53","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"57","Ticket-linked Emails","ticket-emails","1",NULL,"email.tickets","fas fa-ticket-alt","0","0","53","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"58","Task-linked Emails","task-emails","1",NULL,"email.tasks","fas fa-tasks","0","0","53","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"59","Email Templates","email-templates","1",NULL,"email.templates","fas fa-clipboard","0","0","53","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"60","Email Settings","email-settings","1",NULL,"email.settings","fas fa-cog","0","0","53","7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"60","Email Settings","email-settings","1",NULL,"email.settings","fas fa-cog","0","0","53","7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"61","Assets & Files","assets-files","1",NULL,NULL,"fas fa-file","0","0",NULL,"8","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"62","Upload File","upload-file","1",NULL,"files.upload","fas fa-upload","0","0","61","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"63","My Files","my-files","1",NULL,"files.my","fas fa-folder-open","0","0","61","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"64","Shared Files","shared-files","1",NULL,"files.shared","fas fa-share-alt","0","0","61","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"65","Ticket Attachments","ticket-attachments","1",NULL,"files.tickets","fas fa-paperclip","0","0","61","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"66","Task Documents","task-documents","1",NULL,"files.tasks","fas fa-file-alt","0","0","61","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"67","Knowledge Base Assets","kb-assets","1",NULL,"files.knowledge","fas fa-book-open","0","0","61","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"68","Image Library","image-library","1",NULL,"files.images","fas fa-images","0","0","61","7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"69","File Tags & Metadata","file-metadata","1",NULL,"files.metadata","fas fa-tags","0","0","61","8","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"70","Expiry & Retention Rules","file-retention","1",NULL,"files.retention","fas fa-clock","0","0","61","9","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"71","File Access Logs","file-logs","1",NULL,"files.logs","fas fa-history","0","0","61","10","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"72","Reports","reports","1",NULL,NULL,"fas fa-chart-bar","0","0",NULL,"9","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"73","Ticket Statistics","ticket-statistics","1",NULL,"reports.tickets","fas fa-chart-line","0","0","72","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"74","Task Completion Rates","task-completion","1",NULL,"reports.tasks","fas fa-check","0","0","72","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"75","Agent Performance","agent-performance","1",NULL,"reports.agents","fas fa-user-check","0","0","72","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"76","Customer Satisfaction","customer-satisfaction","1",NULL,"reports.satisfaction","fas fa-smile","0","0","72","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"77","System Logs","system-logs","1",NULL,"reports.logs","fas fa-file-alt","0","0","72","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"78","Export Center","export-center","1",NULL,"reports.export","fas fa-download","0","0","72","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"79","Users & Roles","users-roles","1",NULL,NULL,"fas fa-users","0","0",NULL,"10","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"80","All Users","all-users","1",NULL,"users.index","fas fa-list","0","0","79","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"81","Add New User","add-user","1",NULL,"users.create","fas fa-plus","0","0","79","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"82","User Activity","user-activity","1",NULL,"users.activity","fas fa-history","0","0","79","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"83","Modern Dashboard","modern-dashboard","1",NULL,"users.modern","fas fa-th-large","0","0","79","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"84","Roles & Permissions","roles-permissions","1",NULL,"roles.index","fas fa-shield-alt","0","0","79","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"85","Role Menu Assignment","role-menu-assignment","1",NULL,"roles.menus","fas fa-user-tag","0","0","79","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"86","User Menu Override","user-menu-override","1",NULL,"users.menus","fas fa-user-cog","0","0","79","7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"87","Settings","settings","1",NULL,NULL,"fas fa-cog","0","0",NULL,"11","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"88","System Settings","system-settings","1",NULL,"settings.system","fas fa-server","0","0","87","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"89","Email Settings","email-settings-main","1",NULL,"settings.email","fas fa-envelope","0","0","87","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"90","Ticket Settings","ticket-settings","1",NULL,"settings.tickets","fas fa-ticket-alt","0","0","87","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"91","Task Settings","task-settings","1",NULL,"settings.tasks","fas fa-tasks","0","0","87","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"92","Notification Settings","notification-settings","1",NULL,"settings.notifications","fas fa-bell","0","0","87","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"93","Security Settings","security-settings","1",NULL,"settings.security","fas fa-shield-alt","0","0","87","6","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"94","API & Integrations","api-integrations","1",NULL,"settings.api","fas fa-plug","0","0","87","7","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"95","Audit Trail","audit-trail","1",NULL,"settings.audit","fas fa-history","0","0","87","8","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"96","Admin Tools","admin-tools","1",NULL,NULL,"fas fa-tools","0","0",NULL,"12","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"97","Data Import/Export","data-import-export","1",NULL,"admin.data","fas fa-exchange-alt","0","0","96","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"98","Migration Viewer","migration-viewer","1",NULL,"admin.migrations","fas fa-database","0","0","96","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"99","Seeder Manager","seeder-manager","1",NULL,"admin.seeders","fas fa-seedling","0","0","96","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"100","Cache & Queue Monitor","cache-queue","1",NULL,"admin.cache","fas fa-tachometer-alt","0","0","96","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"101","System Health Check","health-check","1",NULL,"admin.health","fas fa-heartbeat","0","0","96","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"102","QA & Testing","qa-testing","1",NULL,NULL,"fas fa-bug","0","0",NULL,"13","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"103","Test Scenarios","test-scenarios","1",NULL,"qa.scenarios","fas fa-list-ol","0","0","102","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"104","Mock Tickets","mock-tickets","1",NULL,"qa.mock","fas fa-ticket-alt","0","0","102","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
