id,title,slug,is_visible,url,route_name,icon,icon_color,tooltip,badge_count,is_collapsible,permission_key,component,order,is_external,parent_id,display_order,menu_group,is_favorite,created_at,updated_at
1,Dashboard,dashboard,1,,dashboard.index,fas fa-tachometer-alt,#333,Main dashboard,0,1,view_dashboard,,1,0,,1,main,0,20/08/2025 00:00,20/08/2025 00:00
2,System Overview,system-overview,1,,dashboard.overview,fas fa-info-circle,#333,System status overview,0,0,view_system_overview,,2,0,1,1,main,0,20/08/2025 00:00,20/08/2025 00:00
3,My Activity,my-activity,1,,dashboard.activity,fas fa-user-clock,#333,Your recent activity,0,0,view_activity,,3,0,1,2,main,0,20/08/2025 00:00,20/08/2025 00:00
4,Quick Actions,quick-actions,1,,dashboard.quick,fas fa-bolt,#333,Shortcuts for common actions,0,0,view_quick_actions,,4,0,1,3,main,0,20/08/2025 00:00,20/08/2025 00:00
5,Agent Dashboard,agent-dashboard,1,,dashboard.agent,fas fa-user-tie,#333,Agent-specific dashboard,0,0,view_agent_dashboard,,5,0,1,4,main,0,20/08/2025 00:00,20/08/2025 00:00
6,Manager Dashboard,manager-dashboard,1,,dashboard.manager,fas fa-user-cog,#333,Manager dashboard,0,0,view_manager_dashboard,,6,0,1,5,main,0,20/08/2025 00:00,20/08/2025 00:00
7,Admin Dashboard,admin-dashboard,1,,dashboard.admin,fas fa-crown,#333,Admin dashboard,0,0,view_admin_dashboard,,7,0,1,6,main,0,20/08/2025 00:00,20/08/2025 00:00
8,Custom Dashboard,custom-dashboard,1,,dashboard.custom,fas fa-th-large,#333,Custom dashboard,0,1,view_custom_dashboard,,8,0,1,7,main,0,20/08/2025 00:00,20/08/2025 00:00
9,Add Card,add-card,1,,dashboard.custom.add,fas fa-plus,#333,Add dashboard card,0,0,add_dashboard_card,,9,0,8,1,main,0,20/08/2025 00:00,20/08/2025 00:00
10,Reorder Cards,reorder-cards,1,,dashboard.custom.reorder,fas fa-sort,#333,Reorder dashboard cards,0,0,reorder_dashboard_cards,,10,0,8,2,main,0,20/08/2025 00:00,20/08/2025 00:00
11,Save Layout,save-layout,1,,dashboard.custom.save,fas fa-save,#333,Save dashboard layout,0,0,save_dashboard_layout,,11,0,8,3,main,0,20/08/2025 00:00,20/08/2025 00:00
12,Set Default,set-default,1,,dashboard.custom.default,fas fa-star,#333,Set default dashboard layout,0,0,set_default_dashboard,,12,0,8,4,main,0,20/08/2025 00:00,20/08/2025 00:00
13,Tickets,tickets,1,,tickets.index,fas fa-ticket-alt,#333,Ticket management,0,1,view_tickets,,13,0,,1,tickets,0,20/08/2025 00:00,20/08/2025 00:00
14,Create Ticket,create-ticket,1,,tickets.create,fas fa-plus,#333,Create a new ticket,0,0,create_ticket,,14,0,13,1,tickets,0,20/08/2025 00:00,20/08/2025 00:00
15,My Tickets,my-tickets,1,,tickets.my,fas fa-list,#333,Your assigned tickets,0,0,view_my_tickets,,15,0,13,2,tickets,0,20/08/2025 00:00,20/08/2025 00:00
16,All Tickets,all-tickets,1,,tickets.all,fas fa-list-alt,#333,List all tickets,0,0,view_all_tickets,,16,0,13,3,tickets,0,20/08/2025 00:00,20/08/2025 00:00
17,Unassigned,unassigned-tickets,1,,tickets.unassigned,fas fa-user-slash,#333,Unassigned tickets,0,0,view_unassigned_tickets,,17,0,13,4,tickets,0,20/08/2025 00:00,20/08/2025 00:00
18,Closed Tickets,closed-tickets,1,,tickets.closed,fas fa-check,#333,Closed tickets,0,0,view_closed_tickets,,18,0,13,5,tickets,0,20/08/2025 00:00,20/08/2025 00:00
19,Templates,ticket-templates,1,,tickets.templates,fas fa-clipboard,#333,Ticket templates,0,0,view_ticket_templates,,19,0,13,6,tickets,0,20/08/2025 00:00,20/08/2025 00:00
20,Ticket Tags,ticket-tags,1,,tickets.tags,fas fa-tags,#333,Ticket tags,0,0,manage_ticket_tags,,20,0,13,7,tickets,0,20/08/2025 00:00,20/08/2025 00:00
21,Projects,projects,1,,projects.index,fas fa-project-diagram,#333,Project management,0,1,view_projects,,21,0,,1,projects,0,20/08/2025 00:00,20/08/2025 00:00
22,All Projects,all-projects,1,,projects.all,fas fa-list,#333,List all projects,0,0,view_all_projects,,22,0,21,1,projects,0,20/08/2025 00:00,20/08/2025 00:00
23,Create Project,create-project,1,,projects.create,fas fa-plus,#333,Start a new project,0,0,create_project,,23,0,21,2,projects,0,20/08/2025 00:00,20/08/2025 00:00
24,Overview,project-overview,1,,projects.overview,fas fa-eye,#333,Project overview,0,0,view_project_overview,,24,0,21,3,projects,0,20/08/2025 00:00,20/08/2025 00:00
25,Milestones,milestones,1,,projects.milestones,fas fa-flag,#333,Project milestones,0,0,view_milestones,,25,0,21,4,projects,0,20/08/2025 00:00,20/08/2025 00:00
26,Linked Tasks,linked-tasks,1,,projects.linked-tasks,fas fa-tasks,#333,Tasks linked to project,0,0,view_linked_tasks,,26,0,21,5,projects,0,20/08/2025 00:00,20/08/2025 00:00
27,Linked Tickets,linked-tickets,1,,projects.linked-tickets,fas fa-ticket-alt,#333,Tickets linked to project,0,0,view_linked_tickets,,27,0,21,6,projects,0,20/08/2025 00:00,20/08/2025 00:00
28,Team Setup,team-setup,1,,projects.team,fas fa-users,#333,Setup project team,0,0,manage_team_setup,,28,0,21,7,projects,0,20/08/2025 00:00,20/08/2025 00:00
29,Files,project-files,1,,projects.files,fas fa-folder,#333,Project files,0,0,view_project_files,,29,0,21,8,projects,0,20/08/2025 00:00,20/08/2025 00:00
30,Timeline,project-timeline,1,,projects.timeline,fas fa-calendar-alt,#333,Project timeline,0,0,view_project_timeline,,30,0,21,9,projects,0,20/08/2025 00:00,20/08/2025 00:00
31,Reports,project-reports,1,,projects.reports,fas fa-chart-bar,#333,Project reports,0,0,view_project_reports,,31,0,21,10,projects,0,20/08/2025 00:00,20/08/2025 00:00
32,Tasks,tasks,1,,tasks.index,fas fa-tasks,#333,Task management,0,1,view_tasks,,32,0,,1,tasks,0,20/08/2025 00:00,20/08/2025 00:00
33,My Tasks,my-tasks,1,,tasks.my,fas fa-user,#333,Your assigned tasks,0,0,view_my_tasks,,33,0,32,1,tasks,0,20/08/2025 00:00,20/08/2025 00:00
34,Team Tasks,team-tasks,1,,tasks.team,fas fa-users,#333,Team tasks,0,0,view_team_tasks,,34,0,32,2,tasks,0,20/08/2025 00:00,20/08/2025 00:00
35,Templates,task-templates,1,,tasks.templates,fas fa-clipboard,#333,Task templates,0,0,view_task_templates,,35,0,32,3,tasks,0,20/08/2025 00:00,20/08/2025 00:00
36,Statuses,task-statuses,1,,tasks.statuses,fas fa-check-square,#333,Task statuses,0,0,view_task_statuses,,36,0,32,4,tasks,0,20/08/2025 00:00,20/08/2025 00:00
37,Linked Projects,linked-projects,1,,tasks.linked-projects,fas fa-project-diagram,#333,Projects linked to task,0,0,view_linked_projects,,37,0,32,5,tasks,0,20/08/2025 00:00,20/08/2025 00:00
38,Linked Tickets,linked-tickets-tasks,1,,tasks.linked-tickets,fas fa-ticket-alt,#333,Tickets linked to task,0,0,view_linked_tickets,,38,0,32,6,tasks,0,20/08/2025 00:00,20/08/2025 00:00
39,Calendar Sync,calendar-sync,1,,tasks.calendar,fas fa-sync,#333,Sync tasks with calendar,0,0,manage_calendar_sync,,39,0,32,7,tasks,0,20/08/2025 00:00,20/08/2025 00:00
40,Knowledge Base,knowledge-base,1,,knowledge.index,fas fa-book,#333,Knowledge base,0,1,view_knowledge,,40,0,,1,knowledge,0,20/08/2025 00:00,20/08/2025 00:00
41,Browse Articles,browse-articles,1,,knowledge.browse,fas fa-search,#333,Browse articles,0,0,browse_articles,,41,0,40,1,knowledge,0,20/08/2025 00:00,20/08/2025 00:00
42,Manage Articles,manage-articles,1,,knowledge.manage,fas fa-cog,#333,Manage articles,0,0,manage_articles,,42,0,40,2,knowledge,0,20/08/2025 00:00,20/08/2025 00:00
43,Categories,categories,1,,knowledge.categories,fas fa-folder,#333,Article categories,0,0,view_categories,,43,0,40,3,knowledge,0,20/08/2025 00:00,20/08/2025 00:00
44,Feedback,article-feedback,1,,knowledge.feedback,fas fa-comments,#333,Article feedback,0,0,view_article_feedback,,44,0,40,4,knowledge,0,20/08/2025 00:00,20/08/2025 00:00
45,Drafts Queue,drafts-queue,1,,knowledge.drafts,fas fa-edit,#333,Drafts review queue,0,0,manage_drafts,,45,0,40,5,knowledge,0,20/08/2025 00:00,20/08/2025 00:00
46,Calendar,calendar,1,,calendar.index,fas fa-calendar,#333,Calendar,0,1,view_calendar,,46,0,,1,calendar,0,20/08/2025 00:00,20/08/2025 00:00
47,My Calendar,my-calendar,1,,calendar.my,fas fa-user-clock,#333,My calendar,0,0,view_my_calendar,,47,0,46,1,calendar,0,20/08/2025 00:00,20/08/2025 00:00
48,Team Calendar,team-calendar,1,,calendar.team,fas fa-users,#333,Team calendar,0,0,view_team_calendar,,48,0,46,2,calendar,0,20/08/2025 00:00,20/08/2025 00:00
49,Ticket Due Dates,ticket-due-dates,1,,calendar.tickets,fas fa-ticket-alt,#333,Ticket due dates,0,0,view_ticket_due_dates,,49,0,46,3,calendar,0,20/08/2025 00:00,20/08/2025 00:00
50,Task Due Dates,task-due-dates,1,,calendar.tasks,fas fa-tasks,#333,Task due dates,0,0,view_task_due_dates,,50,0,46,4,calendar,0,20/08/2025 00:00,20/08/2025 00:00
51,Event Types,event-types,1,,calendar.events,fas fa-star,#333,Event types,0,0,view_event_types,,51,0,46,5,calendar,0,20/08/2025 00:00,20/08/2025 00:00
52,Sync Settings,sync-settings,1,,calendar.sync,fas fa-sync-alt,#333,Calendar sync settings,0,0,manage_sync_settings,,52,0,46,6,calendar,0,20/08/2025 00:00,20/08/2025 00:00
53,Email,email,1,,email.index,fas fa-envelope,#333,Email,0,1,view_email,,53,0,,1,email,0,20/08/2025 00:00,20/08/2025 00:00
54,Inbox,inbox,1,,email.inbox,fas fa-inbox,#333,Inbox,0,0,view_inbox,,54,0,53,1,email,0,20/08/2025 00:00,20/08/2025 00:00
55,Sent,sent,1,,email.sent,fas fa-paper-plane,#333,Sent emails,0,0,view_sent,,55,0,53,2,email,0,20/08/2025 00:00,20/08/2025 00:00
56,Drafts,drafts,1,,email.drafts,fas fa-edit,#333,Draft emails,0,0,view_drafts,,56,0,53,3,email,0,20/08/2025 00:00,20/08/2025 00:00
57,Ticket Emails,ticket-emails,1,,email.tickets,fas fa-ticket-alt,#333,Ticket emails,0,0,view_ticket_emails,,57,0,53,4,email,0,20/08/2025 00:00,20/08/2025 00:00
58,Task Emails,task-emails,1,,email.tasks,fas fa-tasks,#333,Task emails,0,0,view_task_emails,,58,0,53,5,email,0,20/08/2025 00:00,20/08/2025 00:00
59,Templates,email-templates,1,,email.templates,fas fa-clipboard,#333,Email templates,0,0,manage_email_templates,,59,0,53,6,email,0,20/08/2025 00:00,20/08/2025 00:00
60,Settings,email-settings,1,,email.settings,fas fa-cog,#333,Email settings,0,0,manage_email_settings,,60,0,53,7,email,0,20/08/2025 00:00,20/08/2025 00:00
61,Assets & Files,assets-files,1,,files.index,fas fa-file,#333,Assets and files,0,1,view_files,,61,0,,1,assets,0,20/08/2025 00:00,20/08/2025 00:00
62,Upload File,upload-file,1,,files.upload,fas fa-upload,#333,Upload file,0,0,upload_file,,62,0,61,1,assets,0,20/08/2025 00:00,20/08/2025 00:00
63,My Files,my-files,1,,files.my,fas fa-folder-open,#333,My files,0,0,view_my_files,,63,0,61,2,assets,0,20/08/2025 00:00,20/08/2025 00:00
64,Shared Files,shared-files,1,,files.shared,fas fa-share-alt,#333,Shared files,0,0,view_shared_files,,64,0,61,3,assets,0,20/08/2025 00:00,20/08/2025 00:00
65,Ticket Files,ticket-files,1,,files.tickets,fas fa-ticket-alt,#333,Ticket files,0,0,view_ticket_files,,65,0,61,4,assets,0,20/08/2025 00:00,20/08/2025 00:00
