id,title,slug,is_visible,url,route_name,icon,icon_color,tooltip,badge_count,is_collapsible,permission_key,component,order,is_external,parent_id,display_order,menu_group,is_favorite,created_at,updated_at
1,User Management,user-management,1,,dashboard,fas fa-tachometer-alt,#333,"Main dashboard",0,0,view_dashboard,,0,0,,1,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
2,Menu Management,menu-management,1,,dashboard.overview,fas fa-info-circle,#333,"System status overview",0,0,view_system_overview,,0,0,1,1,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
3,System Settings,system-settings,1,,dashboard.activity,fas fa-user-clock,#333,"Your recent activity",0,0,view_activity,,0,0,1,2,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
4,Notification Settings,notification-settings,1,,dashboard.quick,fas fa-bolt,#333,"Shortcuts for common actions",0,0,view_quick_actions,,0,0,1,3,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
5,Agent Dashboard,agent-dashboard,1,,dashboard.agent,fas fa-user-tie,#333,"Agent-specific dashboard",0,0,view_agent_dashboard,,0,0,1,4,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
6,Admin Dashboard,admin-dashboard,1,,dashboard.admin,fas fa-crown,#333,"Admin dashboard",0,0,view_admin_dashboard,,0,0,1,5,admin,0,2025-08-08 00:00:00,2025-08-08 00:00:00
7,Settings,settings,1,,settings.index,fas fa-cog,#333,"System settings",0,1,view_settings,,0,0,,1,settings,0,2025-08-08 00:00:00,2025-08-08 00:00:00
8,Help,help,1,,help.index,fas fa-question-circle,#333,"Help and onboarding",0,1,view_help,,0,0,,1,help,0,2025-08-08 00:00:00,2025-08-08 00:00:00
9,My Account,my-account,1,,account.index,fas fa-user-circle,#333,"Manage your account",0,1,view_account,,0,0,,1,user,0,2025-08-08 00:00:00,2025-08-08 00:00:00
10,Reports,reports,1,,reports.index,fas fa-chart-bar,#333,"View system reports",0,1,view_reports,,0,0,,1,admin,0,2025-08-08 00:00:00,2025-08-08 00:00:00
11,Projects,projects,1,,projects.index,fas fa-project-diagram,#333,"Project management",0,1,view_projects,,0,0,,1,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
12,Tasks,tasks,1,,tasks.index,fas fa-tasks,#333,"Task management",0,1,view_tasks,,0,0,,1,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
13,Knowledge Base,knowledge-base,1,,knowledge.index,fas fa-book,#333,"Browse articles and guides",0,1,view_knowledge,,0,0,,1,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
14,Calendar,calendar,1,,calendar.index,fas fa-calendar,#333,"View calendar events",0,1,view_calendar,,0,0,,1,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
15,Email,email,1,,email.index,fas fa-envelope,#333,"Email inbox and settings",0,1,view_email,,0,0,,1,user,0,2025-08-08 00:00:00,2025-08-08 00:00:00
16,Assets & Files,assets-files,1,,files.index,fas fa-file,#333,"Manage files and uploads",0,1,view_files,,0,0,,1,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
17,Users & Roles,users-roles,1,,users.index,fas fa-users,#333,"User and role management",0,1,manage_users,,0,0,,1,admin,0,2025-08-08 00:00:00,2025-08-08 00:00:00
18,Admin Tools,admin-tools,1,,admin.tools,fas fa-tools,#333,"Admin utilities",0,1,view_admin_tools,,0,0,,1,admin,0,2025-08-08 00:00:00,2025-08-08 00:00:00
19,QA & Testing,qa-testing,1,,qa.index,fas fa-bug,#333,"Quality assurance and testing",0,1,view_qa,,0,0,,1,admin,0,2025-08-08 00:00:00,2025-08-08 00:00:00
20,Integrations,integrations,1,,integrations.index,fas fa-puzzle-piece,#333,"Third-party integrations",0,1,view_integrations,,0,0,,1,settings,0,2025-08-08 00:00:00,2025-08-08 00:00:00
21,Compliance,compliance,1,,compliance.index,fas fa-gavel,#333,"Compliance and audit",0,1,view_compliance,,0,0,,1,admin,0,2025-08-08 00:00:00,2025-08-08 00:00:00
22,Sidebar & Navigation,sidebar-navigation,1,,menus.index,fas fa-bars,#333,"Sidebar and menu management",0,1,manage_menus,,0,0,,1,settings,0,2025-08-08 00:00:00,2025-08-08 00:00:00
22,All Projects,all-projects,1,,projects.index,fas fa-list,#333,"List all projects",0,0,view_projects,,0,0,11,1,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
23,Create Project,create-project,1,,projects.create,fas fa-plus,#333,"Start a new project",0,0,create_project,,0,0,11,2,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
24,Project Overview,project-overview,1,,projects.overview,fas fa-eye,#333,"Project summary",0,0,view_project_overview,,0,0,11,3,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
25,Milestones,milestones,1,,projects.milestones,fas fa-flag,#333,"Project milestones",0,0,view_milestones,,0,0,11,4,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
26,Linked Tasks,linked-tasks,1,,projects.tasks,fas fa-link,#333,"Tasks linked to project",0,0,view_linked_tasks,,0,0,11,5,main,0,2025-08-08 00:00:00,2025-08-08 00:00:00
