id,role_id,role_type,menu_item_id,is_granted,assigned_at,status,notes,created_at,updated_at
1,1,user,1,1,2025-08-09 00:00:00,active,"Dashboard",2025-08-09 00:00:00,2025-08-09 00:00:00
2,1,user,2,1,2025-08-09 00:00:00,active,"Dashboard - System Overview",2025-08-09 00:00:00,2025-08-09 00:00:00
3,1,user,3,1,2025-08-09 00:00:00,active,"Dashboard - My Activity",2025-08-09 00:00:00,2025-08-09 00:00:00
4,1,user,4,1,2025-08-09 00:00:00,active,"Dashboard - Quick Actions",2025-08-09 00:00:00,2025-08-09 00:00:00
5,1,user,5,1,2025-08-09 00:00:00,active,"Dashboard - Agent Dashboard",2025-08-09 00:00:00,2025-08-09 00:00:00
6,1,user,13,1,2025-08-09 00:00:00,active,"Tickets",2025-08-09 00:00:00,2025-08-09 00:00:00
7,1,user,14,1,2025-08-09 00:00:00,active,"Tickets - Create Ticket",2025-08-09 00:00:00,2025-08-09 00:00:00
8,1,user,15,1,2025-08-09 00:00:00,active,"Tickets - My Tickets",2025-08-09 00:00:00,2025-08-09 00:00:00
9,1,user,20,1,2025-08-09 00:00:00,active,"Tickets - Ticket Tags",2025-08-09 00:00:00,2025-08-09 00:00:00
10,1,user,32,1,2025-08-09 00:00:00,active,"Tasks",2025-08-09 00:00:00,2025-08-09 00:00:00
11,1,user,33,1,2025-08-09 00:00:00,active,"Tasks - My Tasks",2025-08-09 00:00:00,2025-08-09 00:00:00
12,1,user,36,1,2025-08-09 00:00:00,active,"Tasks - Task Statuses",2025-08-09 00:00:00,2025-08-09 00:00:00
13,1,user,38,1,2025-08-09 00:00:00,active,"Tasks - Linked Tickets",2025-08-09 00:00:00,2025-08-09 00:00:00
14,1,user,40,1,2025-08-09 00:00:00,active,"Knowledge Base",2025-08-09 00:00:00,2025-08-09 00:00:00
15,1,user,41,1,2025-08-09 00:00:00,active,"Knowledge Base - Browse Articles",2025-08-09 00:00:00,2025-08-09 00:00:00
