MenuItem Render: [1010000] 'Dashboard' | Level: 0 | activeMenuId: - | isActive: NO | collapseId: menu_1010000 | url: - | route_name: dashboard.index | menuUrl: https://ki-admin.test/dashboard
MenuItem Render: [1010100] 'System Overview' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/dashboard/overview | route_name: dashboard.overview | menuUrl: https://ki-admin.test/dashboard/overview
MenuItem Render: [1010200] 'My Activity' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/dashboard/activity | route_name: dashboard.activity | menuUrl: https://ki-admin.test/dashboard/activity
MenuItem Render: [1010300] 'Quick Actions' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/dashboard/quick | route_name: dashboard.quick | menuUrl: https://ki-admin.test/dashboard/quick
MenuItem Render: [1010400] 'Agent Dashboard' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/dashboard/agent | route_name: dashboard.agent | menuUrl: https://ki-admin.test/dashboard/agent
MenuItem Render: [1010500] 'Manager Dashboard' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/dashboard/manager | route_name: dashboard.manager | menuUrl: https://ki-admin.test/dashboard/manager
MenuItem Render: [1010600] 'Admin Dashboard' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/dashboard/admin | route_name: dashboard.admin | menuUrl: https://ki-admin.test/dashboard/admin
MenuItem Render: [1010700] 'Custom Dashboard' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: menu_1010700 | url: https://ki-admin.test/dashboard/custom | route_name: dashboard.custom | menuUrl: https://ki-admin.test/dashboard/custom
MenuItem Render: [1010710] 'Add Card' | Level: 2 | activeMenuId: - | isActive: NO | collapseId: - | url: - | route_name: dashboard.custom.add | menuUrl: https://ki-admin.test/dashboard
MenuItem Render: [1010720] 'Reorder Cards' | Level: 2 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/dashboard/custom/reorder | route_name: dashboard.custom.reorder | menuUrl: https://ki-admin.test/dashboard/custom/reorder
MenuItem Render: [1010730] 'Save Layout' | Level: 2 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/dashboard/custom/save | route_name: dashboard.custom.save | menuUrl: https://ki-admin.test/dashboard/custom/save
MenuItem Render: [1010740] 'Set Default' | Level: 2 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/dashboard/custom/default | route_name: dashboard.custom.default | menuUrl: https://ki-admin.test/dashboard/custom/default
MenuItem Render: [1020000] 'Tickets' | Level: 0 | activeMenuId: - | isActive: NO | collapseId: menu_1020000 | url: https://ki-admin.test/tickets | route_name: tickets.index | menuUrl: https://ki-admin.test/tickets
MenuItem Render: [1020100] 'Create Ticket' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/tickets/create | route_name: tickets.create | menuUrl: https://ki-admin.test/tickets/create
MenuItem Render: [1020200] 'My Tickets' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/tickets/my | route_name: tickets.my | menuUrl: https://ki-admin.test/tickets/my
MenuItem Render: [1020300] 'All Tickets' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/tickets/all | route_name: tickets.all | menuUrl: https://ki-admin.test/tickets/all
MenuItem Render: [1020400] 'Unassigned' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/tickets/unassigned | route_name: tickets.unassigned | menuUrl: https://ki-admin.test/tickets/unassigned
MenuItem Render: [1020500] 'Closed Tickets' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/tickets/closed | route_name: tickets.closed | menuUrl: https://ki-admin.test/tickets/closed
MenuItem Render: [1020600] 'Templates' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/tickets/templates | route_name: tickets.templates | menuUrl: https://ki-admin.test/tickets/templates
MenuItem Render: [1020700] 'Ticket Tags' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/tickets/tags | route_name: tickets.tags | menuUrl: https://ki-admin.test/tickets/tags
MenuItem Render: [1030000] 'Projects' | Level: 0 | activeMenuId: - | isActive: NO | collapseId: menu_1030000 | url: - | route_name: projects.index | menuUrl: https://ki-admin.test/dashboard
MenuItem Render: [1030100] 'All Projects' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: - | route_name: projects.all | menuUrl: https://ki-admin.test/dashboard
MenuItem Render: [1030200] 'Create Project' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: - | route_name: projects.create | menuUrl: https://ki-admin.test/dashboard
MenuItem Render: [1030300] 'Overview' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/projects/overview | route_name: projects.overview | menuUrl: https://ki-admin.test/projects/overview
MenuItem Render: [1030400] 'Milestones' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/projects/milestones | route_name: projects.milestones | menuUrl: https://ki-admin.test/projects/milestones
MenuItem Render: [1030500] 'Linked Tasks' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: - | route_name: projects.linked-tasks | menuUrl: https://ki-admin.test/dashboard
MenuItem Render: [1030600] 'Linked Tickets' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: - | route_name: projects.linked-tickets | menuUrl: https://ki-admin.test/dashboard
MenuItem Render: [1030700] 'Team Setup' | Level: 1 | activeMenuId: - | isActive: NO | collapseId: - | url: https://ki-admin.test/projects/team | route_name: projects.team | menuUrl: https://ki-admin.test/projects/team
