CONSTRAINT_NAME	ChildTable	ChildColumn	ParentTable	ParentColumn
FK_AuditLog_Users_UserId1	auditlog	UserId1	users	Id
classmember_ibfk_1	classmember	ClassId	classes	Id
classmember_ibfk_2	classmember	StaffId	staff	Id
FK_ClassYearGroupAssignments_Schools_SchoolId	classyeargroupassignments	SchoolId	schools	Id
loginaudit_ibfk_1	loginaudit	UserId	users	Id
menuitems_ibfk_1	menuitems	ParentId	menuitems	Id
rolechangeaudit_ibfk_1	rolechangeaudit	UserId	users	Id
rolechangeaudit_ibfk_4	rolechangeaudit	NewRoleId	roles	Id
rolechangeaudit_ibfk_3	rolechangeaudit	OldRoleId	roles	Id
rolechangeaudit_ibfk_2	rolechangeaudit	ChangedBy	users	Id
rolefeature_ibfk_2	rolefeature	AssignedBy	users	Id
rolefeature_ibfk_1	rolefeature	RoleId	roles	Id
rolemenuitem_ibfk_1	rolemenuitem	RoleId	roles	Id
rolemenuitem_ibfk_3	rolemenuitem	AssignedBy	users	Id
rolemenuitem_ibfk_2	rolemenuitem	MenuItemId	menuitems	Id
roles_ibfk_1	roles	RoleTypeId	roletypes	Id
FK_Staff_JobGroup	staff	JobGroupId	staffjobgroups	Id
FK_Staff_Department	staff	DepartmentId	staffdepartments	Id
FK_Staff_Manager	staff	ReportingManagerId	staff	Id
FK_Staff_JobTitle	staff	JobTitleId	staffjobtitles	Id
FK_StaffAbsenceAudit_Staff	staffabsenceaudit	StaffId	staff	Id
FK_StaffAbsenceAudit_Absence	staffabsenceaudit	StaffAbsenceId	staffabsences	Id
FK_StaffAbsences_Staff	staffabsences	StaffId	staff	Id
FK_StaffAssignments_Staff	staffassignments	StaffId	staff	Id
FK_StaffAssignments_Location	staffassignments	LocationId	stafflocations	Id
FK_StaffDeviceAudit_Staff	staffdeviceaudit	StaffId	staff	Id
FK_StaffDeviceAudit_Device	staffdeviceaudit	StaffDeviceId	staffdevices	Id
FK_StaffDevices_Staff	staffdevices	StaffId	staff	Id
FK_StaffExternalAccountAudit_Account	staffexternalaccountaudit	StaffExternalAccountId	staffexternalaccounts	Id
FK_StaffExternalAccountAudit_Staff	staffexternalaccountaudit	StaffId	staff	Id
FK_StaffExternalAccounts_Staff	staffexternalaccounts	StaffId	staff	Id
FK_StaffExternalAccounts_ExternalSystem	staffexternalaccounts	ExternalSystemId	externalsystems	Id
FK_StaffResponsibilities_Staff	staffresponsibilities	StaffId	staff	Id
FK_StaffResponsibilities_Responsibility	staffresponsibilities	ResponsibilityId	responsibilities	Id
FK_StaffSchoolAudit_StaffSchool	staffschoolaudit	StaffSchoolId	staffschools	Id
FK_StaffSchoolAudit_Staff	staffschoolaudit	StaffId	staff	Id
FK_StaffSchools_Staff	staffschools	StaffId	staff	Id
FK_StaffSchools_School	staffschools	SchoolId	schools	Id
studentabsenceaudit_ibfk_1	studentabsenceaudit	StudentId	students	Id
studentabsenceaudit_ibfk_5	studentabsenceaudit	NewStatusId	absencestatuses	Id
studentabsenceaudit_ibfk_4	studentabsenceaudit	OldStatusId	absencestatuses	Id
studentabsenceaudit_ibfk_3	studentabsenceaudit	ChangedBy	users	Id
studentabsenceaudit_ibfk_2	studentabsenceaudit	AbsenceId	studentabsences	Id
studentabsences_ibfk_2	studentabsences	AbsenceTypeId	absencetypes	Id
studentabsences_ibfk_1	studentabsences	StudentId	students	Id
studentabsences_ibfk_3	studentabsences	RecordedBy	users	Id
studentcontacts_ibfk_1	studentcontacts	StudentId	students	Id
studentflags_ibfk_2	studentflags	AssignedBy	users	Id
studentflags_ibfk_1	studentflags	StudentId	students	Id
studentmedical_ibfk_1	studentmedical	StudentId	students	Id
studentmedical_ibfk_2	studentmedical	RecordedBy	users	Id
students_ibfk_2	students	HouseId	houses	Id
students_ibfk_1	students	YearGroupId	yeargroups	Id
userfeatureoverride_ibfk_2	userfeatureoverride	OverriddenBy	users	Id
userfeatureoverride_ibfk_1	userfeatureoverride	UserId	users	Id
userprofiles_ibfk_1	userprofiles	UserId	users	Id
userrole_ibfk_3	userrole	AssignedBy	users	Id
userrole_ibfk_2	userrole	RoleId	roles	Id
userrole_ibfk_1	userrole	UserId	users	Id
users_ibfk_1	users	StaffId	staff	Id
